->zad 1)
	4
->zad 2)
	6
->zad 3)
	995, 950
->zad 4)
	12767
->zad5)
	823	722	624	891	828	997	797	741	464	630	917	297	
	199	361	407	30	921	140	332	5	963	450	408	636	
	180	839	157	693	257	919	961	931	287	350	810	717	
	351	240	28	950	912	209	723	778	657	461	917	414	
	571	689	865	393	618	199	666	297	807	604	887	223	
	196	244	782	660	510	344	909	416	516	80	945	636	
	920	785	590	998	315	806	818	440	865	67	376	468	
	925	885	151	736	523	291	30	898	616	815	906	164	
	426	623	126	664	687	96	895	167	158	642	148	76	
	130	705	847	200	234	802	976	856	233	675	411	600	
	605	637	971	424	938	525	117	527	775	420	25	82	
	409	632	943	64	116	78	103	54	65	489	730	151	
	736	515	689	472	791	156	713	806	271	880	702	79	
	427	992	261	196	874	872	362	964	709	913	809	137	
	327	114	776	626	305	253	517	223	998	576	89	6	
	317	753	4	62	661	121	984	277	927	409	463	213	
	984	132	221	872	796	125	433	950	70	67	121	647	
	26	336	331	20	776	777	94	441	387	137	279	140	
	839	48	704	875	771	540	446	630	583	725	988	991	
	206	141	571	409	995	635	523	221	124	735	230	429	
	844	920	133	255	505	223	747	125	540	317	904	148	
